C,SETP.WORLD,DVD_DISPATCH_UNIT_SCADA,AEMO,PUBLIC,DUID,9:36:25,1.74E+12,MONTHLY_ARCHIVE,1.74E+12
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE,LASTCHANGED,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ADPBA1,1.217,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ADPPV1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,AGLHAL,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,AGLSOM,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ANGAST1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ARWF1,79.3,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,AVLSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BALB1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BALDHWF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BANGOWF1,26.69719,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BANGOWF2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BANN1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BARCALDN,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BARCSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BARKIPS1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BARRON-1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BARRON-2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BASTYAN,76.11001,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BBATTERY1,-1.10276,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BBTHREE1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BBTHREE2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BBTHREE3,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BDL01,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BDL02,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BERYLSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BHB1,-0.1133,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BLOWERNG,55.1,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BLUEGSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BLUFF1,0.2,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BLYTHB1,-0.56,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BNGSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BNGSF2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BOCORWF1,5.26,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BODWF1,86.55098,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BOLIVPS1,0.00001,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BOMENSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,BOWWBA1,-0.042,1/01/2025 0:00,,
