C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2020/06/16,00:13:42,0000000324372063,,0000000324372039
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/19 00:00:00",NEM,440856.50533026,334883.13124741,0.7596
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/19 00:00:00",NSW1,134886.723599,111938.15046606,0.8299
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/19 00:00:00",QLD1,142017.44084225,111446.75435223,0.7847
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/19 00:00:00",SA1,28341.35566801,7226.68228176,0.2550
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/19 00:00:00",TAS1,38001.740404,1.63540822,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/19 00:00:00",VIC1,97609.244817,104269.90873914,1.0682
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/20 00:00:00",NEM,479570.77890416,338584.38904949,0.7060
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/20 00:00:00",NSW1,144135.276714,113525.14079306,0.7876
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/20 00:00:00",QLD1,147315.71714516,112266.72943270,0.7621
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/20 00:00:00",SA1,34474.807355,8498.38243149,0.2465
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/20 00:00:00",TAS1,36658.2315,1.63363422,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/20 00:00:00",VIC1,116986.746190,104292.50275802,0.8915
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/21 00:00:00",NEM,478102.25169257,349957.73744823,0.7320
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/21 00:00:00",NSW1,142537.569265,116931.87811340,0.8204
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/21 00:00:00",QLD1,153909.81185357,116393.28816656,0.7562
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/21 00:00:00",SA1,28376.945585,8346.70903409,0.2941
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/21 00:00:00",TAS1,38724.11096999,1.63395904,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/21 00:00:00",VIC1,114553.81401901,108284.22817514,0.9453
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/22 00:00:00",NEM,478115.11353326,356958.55307964,0.7466
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/22 00:00:00",NSW1,145831.009505,113921.10824521,0.7812
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/22 00:00:00",QLD1,152655.34971226,113690.76248928,0.7448
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/22 00:00:00",SA1,22405.774322,9704.29329513,0.4331
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/22 00:00:00",TAS1,40482.715570,1.63420890,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/22 00:00:00",VIC1,116740.264424,119640.75484112,1.0248
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/23 00:00:00",NEM,485215.73622373,348454.52709230,0.7181
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/23 00:00:00",NSW1,139847.16780801,113676.28643445,0.8129
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/23 00:00:00",QLD1,149546.47181974,111212.87473747,0.7437
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,17,9,"2020/04/23 00:00:00",SA1,35637.013446,5474.03474928,0.1536
