"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","BARCSF1","4.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","BWTR1","5.030080",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","CHALLHWF","1.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","CLOVER","-0.02",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","CLUNY","9.301442",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","CONDONG1","19.629999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","CULLRGWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","GERMCRK","17.8640",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","GRIFSF1","6.199740",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","HUGSF1","9.485001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","MBAHNTH","35.456253",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","MLSP1","9.1520",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","MLWF1","0.27",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","PALOONA","12.78",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","PIONEER","-2.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","PORTWF","6.30",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","REPULSE","15.411002",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","ROWALLAN","-0.005966",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","ROYALLA1","14.807001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","SHOAL1","45.299999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","WAUBRAWF","33.619999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","WOOLNTH1","0.55",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","YAMBUKWF","3.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:40:00","YSWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","BARCSF1","7.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","BWTR1","5.030080",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","CAPTL_WF","6.224704",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","CHALLHWF","1.30",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","CLOVER","-0.02",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","CLUNY","9.267567",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","CONDONG1","19.73",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","CULLRGWF","0.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","GERMCRK","17.9440",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","GRIFSF1","7.298390",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","HUGSF1","9.485001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","MBAHNTH","35.512497",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","MLSP1","9.353001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","MLWF1","0.36",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","PALOONA","12.78",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","PIONEER","-1.90",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","PORTWF","12.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","REPULSE","14.909286",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","ROWALLAN","-0.005966",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","ROYALLA1","15.135001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","SHOAL1","45.275002",NA,NA,NA
