"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.09.08","X20.25.36","X001725791136689","MONTHLY_ARCHIVE","X001725791136689.1"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ADPBA1G","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ADPBA1L","2.907",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ADPPV1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","AGLHAL","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","AGLSOM","19.825",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ANGAST1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ARWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","AVLSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BALB1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BALBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BALBL1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BALDHWF1","22.309",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BANGOWF1","37.79599",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BANGOWF2","16.19844",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BANN1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BARCALDN","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BARCSF1","0.1",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BARKIPS1","64.97",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BARRON-1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BARRON-2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BASTYAN","70.18001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BBATRYL1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BBATTERY","-0.47176",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BBTHREE1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BBTHREE2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BBTHREE3","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BDL01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BDL02","-0.24",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BERYLSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BHB1","-1.43626",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BLOWERNG","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BLUEGSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BLUFF1","11",NA,NA,NA
