C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/06/07,02:10:00,0000000295553529,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2018/05/01 00:30:00",1,NSW1,1,60.97
D,TRADING,PRICE,2,"2018/05/01 00:30:00",1,QLD1,1,55.26
D,TRADING,PRICE,2,"2018/05/01 00:30:00",1,SA1,1,67.6
D,TRADING,PRICE,2,"2018/05/01 00:30:00",1,TAS1,1,93.04
D,TRADING,PRICE,2,"2018/05/01 00:30:00",1,VIC1,1,64.52
D,TRADING,PRICE,2,"2018/05/01 01:00:00",1,NSW1,2,62.62
D,TRADING,PRICE,2,"2018/05/01 01:00:00",1,QLD1,2,57.36
D,TRADING,PRICE,2,"2018/05/01 01:00:00",1,SA1,2,74.88
D,TRADING,PRICE,2,"2018/05/01 01:00:00",1,TAS1,2,91.91
D,TRADING,PRICE,2,"2018/05/01 01:00:00",1,VIC1,2,68.21
D,TRADING,PRICE,2,"2018/05/01 01:30:00",1,NSW1,3,57.97
D,TRADING,PRICE,2,"2018/05/01 01:30:00",1,QLD1,3,53.28
D,TRADING,PRICE,2,"2018/05/01 01:30:00",1,SA1,3,64.68
D,TRADING,PRICE,2,"2018/05/01 01:30:00",1,TAS1,3,95.31
D,TRADING,PRICE,2,"2018/05/01 01:30:00",1,VIC1,3,60.82
D,TRADING,PRICE,2,"2018/05/01 02:00:00",1,NSW1,4,64.12
D,TRADING,PRICE,2,"2018/05/01 02:00:00",1,QLD1,4,58.15
D,TRADING,PRICE,2,"2018/05/01 02:00:00",1,SA1,4,65.42
D,TRADING,PRICE,2,"2018/05/01 02:00:00",1,TAS1,4,127.58
D,TRADING,PRICE,2,"2018/05/01 02:00:00",1,VIC1,4,64.07
D,TRADING,PRICE,2,"2018/05/01 02:30:00",1,NSW1,5,57.12
D,TRADING,PRICE,2,"2018/05/01 02:30:00",1,QLD1,5,51.95
D,TRADING,PRICE,2,"2018/05/01 02:30:00",1,SA1,5,56.03
D,TRADING,PRICE,2,"2018/05/01 02:30:00",1,TAS1,5,93.62
D,TRADING,PRICE,2,"2018/05/01 02:30:00",1,VIC1,5,55.83
D,TRADING,PRICE,2,"2018/05/01 03:00:00",1,NSW1,6,54.91
D,TRADING,PRICE,2,"2018/05/01 03:00:00",1,QLD1,6,49.91
D,TRADING,PRICE,2,"2018/05/01 03:00:00",1,SA1,6,50.93
D,TRADING,PRICE,2,"2018/05/01 03:00:00",1,TAS1,6,104.5
D,TRADING,PRICE,2,"2018/05/01 03:00:00",1,VIC1,6,52.15
D,TRADING,PRICE,2,"2018/05/01 03:30:00",1,NSW1,7,49.03
D,TRADING,PRICE,2,"2018/05/01 03:30:00",1,QLD1,7,45.32
D,TRADING,PRICE,2,"2018/05/01 03:30:00",1,SA1,7,43.52
D,TRADING,PRICE,2,"2018/05/01 03:30:00",1,TAS1,7,94.02
D,TRADING,PRICE,2,"2018/05/01 03:30:00",1,VIC1,7,45.64
D,TRADING,PRICE,2,"2018/05/01 04:00:00",1,NSW1,8,48.04
D,TRADING,PRICE,2,"2018/05/01 04:00:00",1,QLD1,8,44.98
D,TRADING,PRICE,2,"2018/05/01 04:00:00",1,SA1,8,41.65
D,TRADING,PRICE,2,"2018/05/01 04:00:00",1,TAS1,8,95.35
D,TRADING,PRICE,2,"2018/05/01 04:00:00",1,VIC1,8,44.23
D,TRADING,PRICE,2,"2018/05/01 04:30:00",1,NSW1,9,47.17
D,TRADING,PRICE,2,"2018/05/01 04:30:00",1,QLD1,9,44.8
D,TRADING,PRICE,2,"2018/05/01 04:30:00",1,SA1,9,40.79
D,TRADING,PRICE,2,"2018/05/01 04:30:00",1,TAS1,9,198.88
D,TRADING,PRICE,2,"2018/05/01 04:30:00",1,VIC1,9,43.4
D,TRADING,PRICE,2,"2018/05/01 05:00:00",1,NSW1,10,52.23
D,TRADING,PRICE,2,"2018/05/01 05:00:00",1,QLD1,10,50.33
D,TRADING,PRICE,2,"2018/05/01 05:00:00",1,SA1,10,45.63
D,TRADING,PRICE,2,"2018/05/01 05:00:00",1,TAS1,10,100.17
D,TRADING,PRICE,2,"2018/05/01 05:00:00",1,VIC1,10,48.53
D,TRADING,PRICE,2,"2018/05/01 05:30:00",1,NSW1,11,54.64
D,TRADING,PRICE,2,"2018/05/01 05:30:00",1,QLD1,11,51.73
D,TRADING,PRICE,2,"2018/05/01 05:30:00",1,SA1,11,49.67
D,TRADING,PRICE,2,"2018/05/01 05:30:00",1,TAS1,11,113.69
D,TRADING,PRICE,2,"2018/05/01 05:30:00",1,VIC1,11,51.96
D,TRADING,PRICE,2,"2018/05/01 06:00:00",1,NSW1,12,60.64
D,TRADING,PRICE,2,"2018/05/01 06:00:00",1,QLD1,12,58.12
D,TRADING,PRICE,2,"2018/05/01 06:00:00",1,SA1,12,58.18
D,TRADING,PRICE,2,"2018/05/01 06:00:00",1,TAS1,12,123.56
D,TRADING,PRICE,2,"2018/05/01 06:00:00",1,VIC1,12,60.28
D,TRADING,PRICE,2,"2018/05/01 06:30:00",1,NSW1,13,75.42
D,TRADING,PRICE,2,"2018/05/01 06:30:00",1,QLD1,13,71.83
D,TRADING,PRICE,2,"2018/05/01 06:30:00",1,SA1,13,78.83
D,TRADING,PRICE,2,"2018/05/01 06:30:00",1,TAS1,13,78.35
D,TRADING,PRICE,2,"2018/05/01 06:30:00",1,VIC1,13,79.6
D,TRADING,PRICE,2,"2018/05/01 07:00:00",1,NSW1,14,96.08
D,TRADING,PRICE,2,"2018/05/01 07:00:00",1,QLD1,14,92.21
D,TRADING,PRICE,2,"2018/05/01 07:00:00",1,SA1,14,103.97
D,TRADING,PRICE,2,"2018/05/01 07:00:00",1,TAS1,14,81.77
D,TRADING,PRICE,2,"2018/05/01 07:00:00",1,VIC1,14,101.71
D,TRADING,PRICE,2,"2018/05/01 07:30:00",1,NSW1,15,84.92
D,TRADING,PRICE,2,"2018/05/01 07:30:00",1,QLD1,15,81.35
D,TRADING,PRICE,2,"2018/05/01 07:30:00",1,SA1,15,94.33
D,TRADING,PRICE,2,"2018/05/01 07:30:00",1,TAS1,15,84.81
D,TRADING,PRICE,2,"2018/05/01 07:30:00",1,VIC1,15,88.82
D,TRADING,PRICE,2,"2018/05/01 08:00:00",1,NSW1,16,83.52
D,TRADING,PRICE,2,"2018/05/01 08:00:00",1,QLD1,16,76
D,TRADING,PRICE,2,"2018/05/01 08:00:00",1,SA1,16,93.51
D,TRADING,PRICE,2,"2018/05/01 08:00:00",1,TAS1,16,79.08
D,TRADING,PRICE,2,"2018/05/01 08:00:00",1,VIC1,16,89.72
D,TRADING,PRICE,2,"2018/05/01 08:30:00",1,NSW1,17,70.86
D,TRADING,PRICE,2,"2018/05/01 08:30:00",1,QLD1,17,63.72
D,TRADING,PRICE,2,"2018/05/01 08:30:00",1,SA1,17,86.24
D,TRADING,PRICE,2,"2018/05/01 08:30:00",1,TAS1,17,83.68
D,TRADING,PRICE,2,"2018/05/01 08:30:00",1,VIC1,17,82.8
D,TRADING,PRICE,2,"2018/05/01 09:00:00",1,NSW1,18,61.01
D,TRADING,PRICE,2,"2018/05/01 09:00:00",1,QLD1,18,54.71
D,TRADING,PRICE,2,"2018/05/01 09:00:00",1,SA1,18,73.26
D,TRADING,PRICE,2,"2018/05/01 09:00:00",1,TAS1,18,78.35
D,TRADING,PRICE,2,"2018/05/01 09:00:00",1,VIC1,18,67.95
D,TRADING,PRICE,2,"2018/05/01 09:30:00",1,NSW1,19,61.67
D,TRADING,PRICE,2,"2018/05/01 09:30:00",1,QLD1,19,54.82
D,TRADING,PRICE,2,"2018/05/01 09:30:00",1,SA1,19,70.35
D,TRADING,PRICE,2,"2018/05/01 09:30:00",1,TAS1,19,78.31
