C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/10/08,10:26:31,001728347191867,MONTHLY_ARCHIVE
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,3,"2024/09/01 00:05:00",1,NSW1,1,57
D,TRADING,PRICE,3,"2024/09/01 00:05:00",1,QLD1,1,96.75
D,TRADING,PRICE,3,"2024/09/01 00:05:00",1,SA1,1,-43.18
D,TRADING,PRICE,3,"2024/09/01 00:05:00",1,TAS1,1,-47.2
D,TRADING,PRICE,3,"2024/09/01 00:05:00",1,VIC1,1,-43.89
D,TRADING,PRICE,3,"2024/09/01 00:10:00",1,NSW1,2,57
D,TRADING,PRICE,3,"2024/09/01 00:10:00",1,QLD1,2,96.75
D,TRADING,PRICE,3,"2024/09/01 00:10:00",1,SA1,2,-38.91
D,TRADING,PRICE,3,"2024/09/01 00:10:00",1,TAS1,2,-42.37
D,TRADING,PRICE,3,"2024/09/01 00:10:00",1,VIC1,2,-39.48
D,TRADING,PRICE,3,"2024/09/01 00:15:00",1,NSW1,3,57
D,TRADING,PRICE,3,"2024/09/01 00:15:00",1,QLD1,3,96.75
D,TRADING,PRICE,3,"2024/09/01 00:15:00",1,SA1,3,-38.77
D,TRADING,PRICE,3,"2024/09/01 00:15:00",1,TAS1,3,-40.37
D,TRADING,PRICE,3,"2024/09/01 00:15:00",1,VIC1,3,-39.48
D,TRADING,PRICE,3,"2024/09/01 00:20:00",1,NSW1,4,54.39
D,TRADING,PRICE,3,"2024/09/01 00:20:00",1,QLD1,4,77.95
D,TRADING,PRICE,3,"2024/09/01 00:20:00",1,SA1,4,-39.77
D,TRADING,PRICE,3,"2024/09/01 00:20:00",1,TAS1,4,-39.09
D,TRADING,PRICE,3,"2024/09/01 00:20:00",1,VIC1,4,-39.48
D,TRADING,PRICE,3,"2024/09/01 00:25:00",1,NSW1,5,57
D,TRADING,PRICE,3,"2024/09/01 00:25:00",1,QLD1,5,77.75
D,TRADING,PRICE,3,"2024/09/01 00:25:00",1,SA1,5,-39.21
D,TRADING,PRICE,3,"2024/09/01 00:25:00",1,TAS1,5,-39.03
D,TRADING,PRICE,3,"2024/09/01 00:25:00",1,VIC1,5,-39.48
D,TRADING,PRICE,3,"2024/09/01 00:30:00",1,NSW1,6,57
D,TRADING,PRICE,3,"2024/09/01 00:30:00",1,QLD1,6,77.75
D,TRADING,PRICE,3,"2024/09/01 00:30:00",1,SA1,6,-43.39
D,TRADING,PRICE,3,"2024/09/01 00:30:00",1,TAS1,6,-45.53
D,TRADING,PRICE,3,"2024/09/01 00:30:00",1,VIC1,6,-43.89
D,TRADING,PRICE,3,"2024/09/01 00:35:00",1,NSW1,7,57
D,TRADING,PRICE,3,"2024/09/01 00:35:00",1,QLD1,7,77.75
D,TRADING,PRICE,3,"2024/09/01 00:35:00",1,SA1,7,-44.44
D,TRADING,PRICE,3,"2024/09/01 00:35:00",1,TAS1,7,-42.96
D,TRADING,PRICE,3,"2024/09/01 00:35:00",1,VIC1,7,-43.89
D,TRADING,PRICE,3,"2024/09/01 00:40:00",1,NSW1,8,57
D,TRADING,PRICE,3,"2024/09/01 00:40:00",1,QLD1,8,77.95
D,TRADING,PRICE,3,"2024/09/01 00:40:00",1,SA1,8,-39.59
D,TRADING,PRICE,3,"2024/09/01 00:40:00",1,TAS1,8,-38.45
D,TRADING,PRICE,3,"2024/09/01 00:40:00",1,VIC1,8,-39.48
D,TRADING,PRICE,3,"2024/09/01 00:45:00",1,NSW1,9,54.39
D,TRADING,PRICE,3,"2024/09/01 00:45:00",1,QLD1,9,77.75
D,TRADING,PRICE,3,"2024/09/01 00:45:00",1,SA1,9,-39.52
D,TRADING,PRICE,3,"2024/09/01 00:45:00",1,TAS1,9,-1.96
D,TRADING,PRICE,3,"2024/09/01 00:45:00",1,VIC1,9,-39.48
D,TRADING,PRICE,3,"2024/09/01 00:50:00",1,NSW1,10,57
D,TRADING,PRICE,3,"2024/09/01 00:50:00",1,QLD1,10,57.18
D,TRADING,PRICE,3,"2024/09/01 00:50:00",1,SA1,10,-43.79
D,TRADING,PRICE,3,"2024/09/01 00:50:00",1,TAS1,10,-1.96
D,TRADING,PRICE,3,"2024/09/01 00:50:00",1,VIC1,10,-43.89
D,TRADING,PRICE,3,"2024/09/01 00:55:00",1,NSW1,11,55.98
D,TRADING,PRICE,3,"2024/09/01 00:55:00",1,QLD1,11,55.75
D,TRADING,PRICE,3,"2024/09/01 00:55:00",1,SA1,11,-40.65
D,TRADING,PRICE,3,"2024/09/01 00:55:00",1,TAS1,11,1.17
