SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2024/04/01 00:00:00,NSW1,53.92000000,49.33000000
2024/04/01 00:00:00,TAS1,59.09000000,57.67000000
2024/04/01 00:00:00,QLD1,53.44000000,48.15000000
2024/04/01 00:00:00,SA1,56.02000000,22.33000000
2024/04/01 00:00:00,VIC1,36.77000000,38.32000000
2024/04/02 00:00:00,TAS1,48.95000000,39.96000000
2024/04/02 00:00:00,NSW1,52.36000000,51.10000000
2024/04/02 00:00:00,SA1,23.70000000,8.48000000
2024/04/02 00:00:00,QLD1,53.86000000,52.32000000
2024/04/02 00:00:00,VIC1,16.32000000,2.20000000
2024/04/03 00:00:00,NSW1,101.47000000,106.88000000
2024/04/03 00:00:00,TAS1,77.02000000,78.38000000
2024/04/03 00:00:00,VIC1,102.06000000,107.08000000
2024/04/03 00:00:00,QLD1,99.64000000,104.60000000
2024/04/03 00:00:00,SA1,140.41000000,137.20000000
2024/04/04 00:00:00,NSW1,71.35000000,67.83000000
2024/04/04 00:00:00,SA1,52.18000000,23.20000000
2024/04/04 00:00:00,VIC1,38.10000000,20.07000000
2024/04/04 00:00:00,QLD1,74.63000000,70.44000000
2024/04/04 00:00:00,TAS1,63.81000000,60.53000000
2024/04/05 00:00:00,NSW1,79.97000000,89.12000000
2024/04/05 00:00:00,SA1,78.18000000,93.88000000
2024/04/05 00:00:00,TAS1,59.84000000,57.51000000
2024/04/05 00:00:00,QLD1,93.11000000,103.80000000
2024/04/05 00:00:00,VIC1,41.01000000,39.79000000
2024/04/06 00:00:00,VIC1,67.22000000,N/A
2024/04/06 00:00:00,TAS1,76.99000000,N/A
2024/04/06 00:00:00,NSW1,83.62000000,N/A
2024/04/06 00:00:00,QLD1,111.92000000,N/A
2024/04/06 00:00:00,SA1,83.44000000,N/A
2024/04/07 00:00:00,NSW1,74.67000000,N/A
2024/04/07 00:00:00,TAS1,70.47000000,N/A
2024/04/07 00:00:00,SA1,66.08000000,N/A
2024/04/07 00:00:00,QLD1,97.77000000,N/A
2024/04/07 00:00:00,VIC1,55.08000000,N/A
2024/04/08 00:00:00,SA1,83.58000000,62.43000000
2024/04/08 00:00:00,QLD1,95.83000000,85.16000000
2024/04/08 00:00:00,TAS1,67.05000000,57.04000000
2024/04/08 00:00:00,NSW1,90.40000000,81.23000000
2024/04/08 00:00:00,VIC1,68.50000000,54.50000000
2024/04/09 00:00:00,VIC1,51.43000000,46.17000000
2024/04/09 00:00:00,NSW1,68.41000000,63.67000000
2024/04/09 00:00:00,QLD1,70.17000000,65.78000000
2024/04/09 00:00:00,TAS1,70.29000000,66.51000000
2024/04/09 00:00:00,SA1,59.00000000,53.34000000
2024/04/10 00:00:00,NSW1,63.84000000,52.87000000
2024/04/10 00:00:00,TAS1,76.97000000,71.38000000
2024/04/10 00:00:00,QLD1,43.40000000,22.67000000
2024/04/10 00:00:00,SA1,88.79000000,75.92000000
2024/04/10 00:00:00,VIC1,70.04000000,61.58000000
2024/04/11 00:00:00,QLD1,69.16000000,52.74000000
2024/04/11 00:00:00,SA1,128.77000000,106.27000000
2024/04/11 00:00:00,TAS1,104.39000000,101.75000000
2024/04/11 00:00:00,NSW1,79.42000000,66.29000000
2024/04/11 00:00:00,VIC1,102.75000000,96.59000000
2024/04/12 00:00:00,QLD1,71.01000000,54.10000000
2024/04/12 00:00:00,VIC1,97.03000000,87.06000000
2024/04/12 00:00:00,TAS1,81.49000000,74.67000000
2024/04/12 00:00:00,SA1,129.56000000,103.45000000
2024/04/12 00:00:00,NSW1,76.10000000,59.38000000
2024/04/13 00:00:00,TAS1,54.11000000,N/A
2024/04/13 00:00:00,SA1,98.57000000,N/A
2024/04/13 00:00:00,QLD1,78.00000000,N/A
2024/04/13 00:00:00,NSW1,93.31000000,N/A
2024/04/13 00:00:00,VIC1,92.69000000,N/A
2024/04/14 00:00:00,QLD1,82.89000000,N/A
2024/04/14 00:00:00,NSW1,98.77000000,N/A
2024/04/14 00:00:00,SA1,131.35000000,N/A
2024/04/14 00:00:00,VIC1,128.82000000,N/A
2024/04/14 00:00:00,TAS1,49.60000000,N/A
2024/04/15 00:00:00,NSW1,140.67000000,125.55000000
2024/04/15 00:00:00,QLD1,127.90000000,116.99000000
2024/04/15 00:00:00,SA1,172.52000000,140.30000000
2024/04/15 00:00:00,VIC1,172.70000000,147.19000000
2024/04/15 00:00:00,TAS1,58.54000000,61.13000000
2024/04/16 00:00:00,VIC1,157.75000000,154.65000000
2024/04/16 00:00:00,NSW1,143.00000000,135.78000000
2024/04/16 00:00:00,TAS1,76.46000000,85.82000000
2024/04/16 00:00:00,SA1,136.07000000,117.88000000
2024/04/16 00:00:00,QLD1,122.69000000,115.14000000
2024/04/17 00:00:00,VIC1,124.19000000,128.84000000
2024/04/17 00:00:00,NSW1,120.28000000,125.25000000
2024/04/17 00:00:00,TAS1,95.23000000,94.83000000
2024/04/17 00:00:00,QLD1,110.35000000,114.96000000
2024/04/17 00:00:00,SA1,121.90000000,124.45000000
2024/04/18 00:00:00,SA1,114.68000000,112.20000000
2024/04/18 00:00:00,QLD1,102.93000000,96.10000000
2024/04/18 00:00:00,VIC1,97.51000000,88.07000000
2024/04/18 00:00:00,NSW1,106.53000000,98.16000000
2024/04/18 00:00:00,TAS1,87.13000000,83.59000000
2024/04/19 00:00:00,TAS1,102.87000000,98.11000000
2024/04/19 00:00:00,NSW1,86.09000000,72.59000000
2024/04/19 00:00:00,VIC1,83.01000000,71.97000000
2024/04/19 00:00:00,SA1,72.02000000,52.25000000
2024/04/19 00:00:00,QLD1,75.07000000,54.95000000
2024/04/20 00:00:00,NSW1,83.34000000,N/A
2024/04/20 00:00:00,QLD1,82.62000000,N/A
2024/04/20 00:00:00,VIC1,66.52000000,N/A
2024/04/20 00:00:00,TAS1,98.46000000,N/A
2024/04/20 00:00:00,SA1,66.79000000,N/A
2024/04/21 00:00:00,VIC1,86.83000000,N/A
2024/04/21 00:00:00,QLD1,80.19000000,N/A
2024/04/21 00:00:00,SA1,89.98000000,N/A
2024/04/21 00:00:00,NSW1,82.91000000,N/A
2024/04/21 00:00:00,TAS1,90.56000000,N/A
2024/04/22 00:00:00,SA1,99.88000000,91.27000000
2024/04/22 00:00:00,VIC1,99.85000000,93.21000000
2024/04/22 00:00:00,TAS1,83.97000000,68.57000000
2024/04/22 00:00:00,QLD1,78.32000000,67.75000000
2024/04/22 00:00:00,NSW1,95.39000000,91.65000000
2024/04/23 00:00:00,SA1,10.05000000,2.96000000
2024/04/23 00:00:00,QLD1,71.47000000,62.85000000
2024/04/23 00:00:00,VIC1,10.53000000,4.54000000
2024/04/23 00:00:00,TAS1,54.04000000,53.73000000
2024/04/23 00:00:00,NSW1,71.09000000,62.30000000
2024/04/24 00:00:00,VIC1,43.30000000,54.38000000
2024/04/24 00:00:00,TAS1,43.21000000,47.25000000
2024/04/24 00:00:00,SA1,44.17000000,54.61000000
2024/04/24 00:00:00,NSW1,73.03000000,75.47000000
