YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2020,2020/07/31 00:00:00,JULY,NSW1,47.98,55.50
2020,2020/07/31 00:00:00,JULY,QLD1,38.23,41.78
2020,2020/07/31 00:00:00,JULY,SA1,59.33,68.61
2020,2020/07/31 00:00:00,JULY,TAS1,56.60,57.29
2020,2020/07/31 00:00:00,JULY,VIC1,63.60,74.52
2020,2020/08/31 00:00:00,AUGUST,NSW1,49.86,59.16
2020,2020/08/31 00:00:00,AUGUST,QLD1,30.45,29.57
2020,2020/08/31 00:00:00,AUGUST,SA1,45.57,56.22
2020,2020/08/31 00:00:00,AUGUST,TAS1,55.75,56.57
2020,2020/08/31 00:00:00,AUGUST,VIC1,53.70,65.60
2020,2020/09/30 00:00:00,SEPTEMBER,NSW1,40.99,43.79
2020,2020/09/30 00:00:00,SEPTEMBER,QLD1,27.36,26.69
2020,2020/09/30 00:00:00,SEPTEMBER,SA1,15.21,7.44
2020,2020/09/30 00:00:00,SEPTEMBER,TAS1,37.52,38.94
2020,2020/09/30 00:00:00,SEPTEMBER,VIC1,34.65,38.68
2020,2020/10/31 00:00:00,OCTOBER,NSW1,57.87,69.99
2020,2020/10/31 00:00:00,OCTOBER,QLD1,35.22,37.49
2020,2020/10/31 00:00:00,OCTOBER,SA1,32.97,38.75
2020,2020/10/31 00:00:00,OCTOBER,TAS1,41.51,37.37
2020,2020/10/31 00:00:00,OCTOBER,VIC1,44.79,53.68
2020,2020/11/30 00:00:00,NOVEMBER,NSW1,62.49,82.11
2020,2020/11/30 00:00:00,NOVEMBER,QLD1,45.35,53.40
2020,2020/11/30 00:00:00,NOVEMBER,SA1,36.72,37.78
2020,2020/11/30 00:00:00,NOVEMBER,TAS1,59.37,57.08
2020,2020/11/30 00:00:00,NOVEMBER,VIC1,44.07,49.58
